sec,d ms,r.init,r.init was invoked (a)
0.001,0.959,r.init,debug mode is false
0.002,1.128,r.init,colorSensorLineThreshhold is 0.37145650048875856
0.083,81.555,robot,pushButton was invoked with button 0
3.415,3332.166,robot,resetMotorEncoders was called
3.429,13.257,robot,enableMotorEncoders was called
3.453,23.892,r.init,r.init finished (a)
3.517,64.397,autonomous,Done with robot.init --- waiting for start in strafe_test
3.518,1.011,autonomous,Started
3.553,35.272,Mainline,Beginning state machine pass 0
3.555,1.619,<colorRed>
3.556,1.010,colorRedStateMachine,Execution of colorRed has started
3.557,1.124,</colorRed>
3.558,1.035,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.000597.3, seconds
3.559,1.169,Mainline,Ending state machine pass of arcTowardsBeacon
3.560,0.718,Mainline,Beginning state machine pass 1
3.560,0.551,robot,enableMotorBreak was called
3.561,0.942,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.605,43.490,<arcTowardsBeacon>
3.646,41.220,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.647,0.707,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.718,71.633,Mainline,Ending state machine pass of arcTowardsBeacon
3.719,0.769,Mainline,Beginning state machine pass 1
3.720,0.665,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 1.00
3.748,27.971,Mainline,Ending state machine pass of arcTowardsBeacon
3.749,1.226,Mainline,Beginning state machine pass 1
3.750,0.790,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.776,26.029,Mainline,Ending state machine pass of arcTowardsBeacon
3.777,0.947,Mainline,Beginning state machine pass 1
3.778,1.235,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.785,7.091,Mainline,Ending state machine pass of arcTowardsBeacon
3.786,0.762,Mainline,Beginning state machine pass 1
3.787,1.467,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.789,1.810,Mainline,Ending state machine pass of arcTowardsBeacon
3.790,0.996,Mainline,Beginning state machine pass 1
3.791,0.783,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.793,1.934,Mainline,Ending state machine pass of arcTowardsBeacon
3.794,0.830,Mainline,Beginning state machine pass 1
3.794,0.575,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.796,1.884,Mainline,Ending state machine pass of arcTowardsBeacon
3.797,1.214,Mainline,Beginning state machine pass 1
3.798,0.682,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.800,1.867,Mainline,Ending state machine pass of arcTowardsBeacon
3.801,0.922,Mainline,Beginning state machine pass 1
3.804,3.191,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.811,6.466,Mainline,Ending state machine pass of arcTowardsBeacon
3.813,1.999,Mainline,Beginning state machine pass 1
3.813,0.779,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.817,3.185,Mainline,Ending state machine pass of arcTowardsBeacon
3.817,0.831,Mainline,Beginning state machine pass 1
3.818,0.631,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.819,1.473,Mainline,Ending state machine pass of arcTowardsBeacon
3.820,0.835,Mainline,Beginning state machine pass 1
3.821,0.826,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.823,1.532,Mainline,Ending state machine pass of arcTowardsBeacon
3.823,0.821,Mainline,Beginning state machine pass 1
3.824,0.604,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.826,2.211,Mainline,Ending state machine pass of arcTowardsBeacon
3.827,1.039,Mainline,Beginning state machine pass 1
3.828,0.618,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.829,1.513,Mainline,Ending state machine pass of arcTowardsBeacon
3.830,0.750,Mainline,Beginning state machine pass 1
3.831,0.898,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.836,4.447,Mainline,Ending state machine pass of arcTowardsBeacon
3.837,1.105,Mainline,Beginning state machine pass 1
3.838,0.897,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
