sec,d ms,r.init,r.init was invoked (a)
0.001,0.614,r.init,debug mode is false
0.002,1.685,r.init,colorSensorLineThreshhold is 0.41055718475073316
0.116,113.781,robot,pushButton was invoked with button 0
3.815,3698.752,robot,resetMotorEncoders was called
3.830,14.738,robot,enableMotorEncoders was called
3.861,30.960,r.init,r.init finished (a)
3.920,59.347,autonomous,Done with robot.init --- waiting for start in strafe_test
3.923,2.899,autonomous,Started
3.956,33.102,Mainline,Beginning state machine pass 0
3.957,1.277,<colorRed>
3.958,0.869,colorRedStateMachine,Execution of colorRed has started
3.959,0.825,</colorRed>
3.960,0.887,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.001271.3, seconds
3.961,1.625,Mainline,Ending state machine pass of arcTowardsBeacon
3.963,1.329,Mainline,Beginning state machine pass 1
3.964,0.808,robot,enableMotorBreak was called
3.966,2.224,robot,setMotorTankTargets was called - L:r: 1959 : 4059
4.030,64.553,<arcTowardsBeacon>
4.053,22.361,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
4.054,0.921,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
4.133,79.103,Mainline,Ending state machine pass of arcTowardsBeacon
4.134,0.778,Mainline,Beginning state machine pass 1
4.134,0.656,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.175,41.086,Mainline,Ending state machine pass of arcTowardsBeacon
4.176,1.030,Mainline,Beginning state machine pass 1
4.178,1.216,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.218,40.727,Mainline,Ending state machine pass of arcTowardsBeacon
4.219,0.994,Mainline,Beginning state machine pass 1
4.222,2.250,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
4.268,46.846,Mainline,Ending state machine pass of arcTowardsBeacon
4.269,0.989,Mainline,Beginning state machine pass 1
4.270,0.948,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
4.279,9.091,Mainline,Ending state machine pass of arcTowardsBeacon
4.281,1.721,Mainline,Beginning state machine pass 1
4.282,1.307,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
4.287,4.584,Mainline,Ending state machine pass of arcTowardsBeacon
4.289,1.536,Mainline,Beginning state machine pass 1
4.290,1.892,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.321,30.467,Mainline,Ending state machine pass of arcTowardsBeacon
4.322,1.270,Mainline,Beginning state machine pass 1
4.324,2.063,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.334,10.133,Mainline,Ending state machine pass of arcTowardsBeacon
4.336,1.656,Mainline,Beginning state machine pass 1
4.337,1.202,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.342,4.739,Mainline,Ending state machine pass of arcTowardsBeacon
4.343,1.152,Mainline,Beginning state machine pass 1
4.344,0.945,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.363,18.691,Mainline,Ending state machine pass of arcTowardsBeacon
4.364,1.315,Mainline,Beginning state machine pass 1
4.365,0.604,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.368,3.308,Mainline,Ending state machine pass of arcTowardsBeacon
4.370,1.853,Mainline,Beginning state machine pass 1
4.371,1.385,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.395,23.422,Mainline,Ending state machine pass of arcTowardsBeacon
4.396,1.481,Mainline,Beginning state machine pass 1
4.397,0.879,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.400,3.310,Mainline,Ending state machine pass of arcTowardsBeacon
4.401,0.683,Mainline,Beginning state machine pass 1
4.403,1.511,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.409,6.249,Mainline,Ending state machine pass of arcTowardsBeacon
4.409,0.702,Mainline,Beginning state machine pass 1
4.411,1.366,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.413,2.033,Mainline,Ending state machine pass of arcTowardsBeacon
4.415,2.007,Mainline,Beginning state machine pass 1
4.416,1.576,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.418,1.905,Mainline,Ending state machine pass of arcTowardsBeacon
4.420,1.914,Mainline,Beginning state machine pass 1
4.423,2.301,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.425,2.700,Mainline,Ending state machine pass of arcTowardsBeacon
4.426,0.953,Mainline,Beginning state machine pass 1
4.427,0.508,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.465,38.438,Mainline,Ending state machine pass of arcTowardsBeacon
4.467,1.797,Mainline,Beginning state machine pass 1
4.468,1.344,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.498,29.942,Mainline,Ending state machine pass of arcTowardsBeacon
4.501,2.556,Mainline,Beginning state machine pass 1
4.508,7.423,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.46, 1.00
4.591,83.041,Mainline,Ending state machine pass of arcTowardsBeacon
4.593,1.574,Mainline,Beginning state machine pass 1
4.594,1.076,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.45, 1.00
4.630,36.205,Mainline,Ending state machine pass of arcTowardsBeacon
4.631,1.062,Mainline,Beginning state machine pass 1
4.632,0.852,robot,bettermove powers are fl:fr:bl:br, 0.45, 0.98, 0.45, 1.00
4.664,32.149,Mainline,Ending state machine pass of arcTowardsBeacon
4.666,1.547,Mainline,Beginning state machine pass 1
4.667,1.751,robot,bettermove powers are fl:fr:bl:br, 0.44, 0.99, 0.44, 1.00
4.724,56.539,Mainline,Ending state machine pass of arcTowardsBeacon
4.725,0.859,Mainline,Beginning state machine pass 1
4.726,0.658,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.98, 0.43, 1.00
4.775,49.199,Mainline,Ending state machine pass of arcTowardsBeacon
4.776,1.568,Mainline,Beginning state machine pass 1
4.778,1.312,robot,bettermove powers are fl:fr:bl:br, 0.42, 0.98, 0.42, 1.00
4.814,36.607,Mainline,Ending state machine pass of arcTowardsBeacon
4.815,0.847,Mainline,Beginning state machine pass 1
4.816,1.086,robot,bettermove powers are fl:fr:bl:br, 0.41, 0.98, 0.41, 1.00
4.854,37.984,Mainline,Ending state machine pass of arcTowardsBeacon
4.855,0.816,Mainline,Beginning state machine pass 1
4.857,2.321,robot,bettermove powers are fl:fr:bl:br, 0.41, 0.98, 0.40, 1.00
4.884,26.263,Mainline,Ending state machine pass of arcTowardsBeacon
4.886,2.560,Mainline,Beginning state machine pass 1
4.888,1.693,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.99, 0.39, 1.00
4.943,54.926,Mainline,Ending state machine pass of arcTowardsBeacon
4.944,0.788,Mainline,Beginning state machine pass 1
4.945,1.455,robot,bettermove powers are fl:fr:bl:br, 0.38, 0.98, 0.38, 1.00
5.005,59.560,Mainline,Ending state machine pass of arcTowardsBeacon
5.006,1.177,Mainline,Beginning state machine pass 1
5.007,1.776,robot,bettermove powers are fl:fr:bl:br, 0.35, 0.95, 0.35, 0.97
5.082,74.538,Mainline,Ending state machine pass of arcTowardsBeacon
5.083,0.815,Mainline,Beginning state machine pass 1
5.083,0.591,robot,bettermove powers are fl:fr:bl:br, 0.32, 0.90, 0.31, 0.91
5.135,51.701,Mainline,Ending state machine pass of arcTowardsBeacon
5.136,1.149,Mainline,Beginning state machine pass 1
5.137,0.797,robot,bettermove powers are fl:fr:bl:br, 0.29, 0.86, 0.28, 0.87
5.221,84.174,Mainline,Ending state machine pass of arcTowardsBeacon
5.223,1.788,Mainline,Beginning state machine pass 1
5.225,2.117,robot,bettermove powers are fl:fr:bl:br, 0.25, 0.81, 0.25, 0.82
5.295,69.993,Mainline,Ending state machine pass of arcTowardsBeacon
5.296,1.198,Mainline,Beginning state machine pass 1
5.297,0.985,robot,bettermove powers are fl:fr:bl:br, 0.22, 0.76, 0.23, 0.76
5.373,76.102,Mainline,Ending state machine pass of arcTowardsBeacon
5.374,0.987,Mainline,Beginning state machine pass 1
5.375,0.861,robot,bettermove powers are fl:fr:bl:br, 0.20, 0.70, 0.21, 0.69
5.440,64.807,Mainline,Ending state machine pass of arcTowardsBeacon
5.442,2.323,Mainline,Beginning state machine pass 1
5.444,1.677,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.62, 0.20, 0.63
5.549,104.649,Mainline,Ending state machine pass of arcTowardsBeacon
5.550,1.229,Mainline,Beginning state machine pass 1
5.551,0.889,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.58, 0.18, 0.56
5.609,58.183,Mainline,Ending state machine pass of arcTowardsBeacon
5.610,1.249,Mainline,Beginning state machine pass 1
5.611,1.061,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.54, 0.17, 0.51
5.661,49.269,Mainline,Ending state machine pass of arcTowardsBeacon
5.661,0.877,Mainline,Beginning state machine pass 1
5.663,1.299,robot,bettermove powers are fl:fr:bl:br, 0.15, 0.50, 0.17, 0.47
5.721,57.727,Mainline,Ending state machine pass of arcTowardsBeacon
5.722,1.337,Mainline,Beginning state machine pass 1
5.723,0.897,robot,bettermove powers are fl:fr:bl:br, 0.15, 0.50, 0.17, 0.46
5.757,34.457,Mainline,Ending state machine pass of arcTowardsBeacon
5.758,0.978,Mainline,Beginning state machine pass 1
5.759,1.025,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.50, 0.18, 0.46
5.805,45.859,Mainline,Ending state machine pass of arcTowardsBeacon
5.806,0.897,Mainline,Beginning state machine pass 1
5.807,1.166,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.50, 0.19, 0.45
5.866,58.884,Mainline,Ending state machine pass of arcTowardsBeacon
5.867,0.786,Mainline,Beginning state machine pass 1
5.868,1.023,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.50, 0.20, 0.45
5.916,48.623,Mainline,Ending state machine pass of arcTowardsBeacon
5.918,1.147,Mainline,Beginning state machine pass 1
5.919,1.466,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.21, 0.44
5.993,74.276,Mainline,Ending state machine pass of arcTowardsBeacon
5.994,0.870,Mainline,Beginning state machine pass 1
5.995,0.708,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.23, 0.42
6.050,54.680,Mainline,Ending state machine pass of arcTowardsBeacon
6.051,1.192,Mainline,Beginning state machine pass 1
