sec,d ms,r.init,r.init was invoked (a)
0.000,0.396,r.init,debug mode is false
0.001,0.693,r.init,colorSensorLineThreshhold is 0.38905180840664716
0.104,103.373,robot,pushButton was invoked with button 0
3.572,3468.149,robot,resetMotorEncoders was called
3.586,13.980,robot,enableMotorEncoders was called
3.611,24.991,r.init,r.init finished (a)
3.672,60.557,autonomous,Done with robot.init --- waiting for start in masterV3
3.673,1.085,autonomous,Started
5.799,2126.204,Mainline,Beginning state machine pass 0
5.800,0.888,<colorRed>
5.803,2.639,colorRedStateMachine,Execution of colorRed has started
5.805,2.402,</colorRed>
5.806,1.224,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.002118.3, seconds
5.810,3.294,Mainline,Ending state machine pass of arcTowardsBeacon
5.811,1.424,Mainline,Beginning state machine pass 1
5.812,0.896,robot,enableMotorBreak was called
5.818,6.545,robot,setMotorTankTargets was called - L:r: 1959 : 4059
5.876,57.321,<arcTowardsBeacon>
5.904,28.148,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
5.905,0.729,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
5.977,72.105,Mainline,Ending state machine pass of arcTowardsBeacon
5.978,1.714,Mainline,Beginning state machine pass 1
5.980,1.153,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
6.012,32.175,Mainline,Ending state machine pass of arcTowardsBeacon
6.013,0.861,Mainline,Beginning state machine pass 1
6.013,0.751,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
6.047,33.427,Mainline,Ending state machine pass of arcTowardsBeacon
6.048,0.873,Mainline,Beginning state machine pass 1
6.048,0.717,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
6.084,35.359,Mainline,Ending state machine pass of arcTowardsBeacon
6.085,1.388,Mainline,Beginning state machine pass 1
6.086,0.940,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
6.120,34.327,Mainline,Ending state machine pass of arcTowardsBeacon
