sec,d ms,r.init,r.init was invoked (a)
0.001,0.692,r.init,debug mode is false
0.002,1.072,r.init,colorSensorLineThreshhold is 0.3988269794721408
0.004,1.975,robot,pushButton was invoked with button 0
0.025,21.659,robot,resetMotorEncoders was called
0.027,1.366,robot,enableMotorEncoders was called
0.028,0.758,r.init,r.init finished (a)
0.029,1.638,autonomous,Done with robot.init --- waiting for start in strafe_test
0.030,0.756,autonomous,Started
0.036,5.834,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
0.038,2.130,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
0.040,2.072,robot,pushButton was invoked with button 0
0.041,1.058,autonomous,Done with opmode, exited based on OpmodeIsActive false
