sec,d ms,r.init,r.init was invoked (a)
0.001,1.174,r.init,debug mode is false
0.003,1.836,r.init,colorSensorLineThreshhold is 0.4007820136852395
0.096,93.736,robot,pushButton was invoked with button 0
3.446,3349.362,robot,resetMotorEncoders was called
3.455,9.556,robot,enableMotorEncoders was called
3.489,33.338,r.init,r.init finished (a)
3.553,64.432,autonomous,Done with robot.init --- waiting for start in strafe_test
3.554,0.794,autonomous,Started
3.652,98.104,Mainline,Beginning state machine pass 0
3.653,0.912,<colorRed>
3.654,1.619,colorRedStateMachine,Execution of colorRed has started
3.655,0.729,</colorRed>
3.656,0.549,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.000527.3, seconds
3.656,0.758,Mainline,Ending state machine pass of arcTowardsBeacon
3.657,0.881,Mainline,Beginning state machine pass 1
3.658,0.964,robot,enableMotorBreak was called
3.660,1.561,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.703,43.527,<arcTowardsBeacon>
3.733,30.063,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.735,1.675,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.825,90.032,Mainline,Ending state machine pass of arcTowardsBeacon
3.826,1.009,Mainline,Beginning state machine pass 1
3.828,1.434,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.882,54.415,Mainline,Ending state machine pass of arcTowardsBeacon
3.883,0.965,Mainline,Beginning state machine pass 1
3.885,1.559,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.907,22.651,Mainline,Ending state machine pass of arcTowardsBeacon
3.908,1.016,Mainline,Beginning state machine pass 1
3.911,2.769,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.923,11.659,Mainline,Ending state machine pass of arcTowardsBeacon
3.925,1.986,Mainline,Beginning state machine pass 1
3.926,1.536,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.931,4.750,Mainline,Ending state machine pass of arcTowardsBeacon
3.933,2.010,Mainline,Beginning state machine pass 1
3.935,2.113,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.938,2.743,Mainline,Ending state machine pass of arcTowardsBeacon
3.939,1.359,Mainline,Beginning state machine pass 1
3.940,0.664,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.946,5.909,Mainline,Ending state machine pass of arcTowardsBeacon
3.947,1.200,Mainline,Beginning state machine pass 1
3.949,1.842,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.952,2.946,Mainline,Ending state machine pass of arcTowardsBeacon
3.953,0.882,Mainline,Beginning state machine pass 1
3.954,1.238,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.957,2.899,Mainline,Ending state machine pass of arcTowardsBeacon
3.959,1.797,Mainline,Beginning state machine pass 1
3.959,0.692,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.961,2.240,Mainline,Ending state machine pass of arcTowardsBeacon
3.962,0.823,Mainline,Beginning state machine pass 1
3.963,1.178,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.970,6.301,Mainline,Ending state machine pass of arcTowardsBeacon
3.971,0.868,Mainline,Beginning state machine pass 1
3.971,0.843,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.975,3.363,Mainline,Ending state machine pass of arcTowardsBeacon
3.977,1.755,Mainline,Beginning state machine pass 1
3.977,0.896,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.979,2.021,Mainline,Ending state machine pass of arcTowardsBeacon
3.981,1.124,Mainline,Beginning state machine pass 1
3.982,1.719,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.985,2.500,Mainline,Ending state machine pass of arcTowardsBeacon
3.986,0.820,Mainline,Beginning state machine pass 1
3.987,1.737,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.996,9.050,Mainline,Ending state machine pass of arcTowardsBeacon
3.998,1.149,Mainline,Beginning state machine pass 1
3.999,0.932,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.003,4.643,Mainline,Ending state machine pass of arcTowardsBeacon
4.009,5.467,Mainline,Beginning state machine pass 1
4.011,2.370,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.062,51.396,Mainline,Ending state machine pass of arcTowardsBeacon
4.063,1.023,Mainline,Beginning state machine pass 1
4.065,1.266,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.102,37.160,Mainline,Ending state machine pass of arcTowardsBeacon
4.104,1.726,Mainline,Beginning state machine pass 1
