sec,d ms,r.init,r.init was invoked (a)
0.001,0.601,r.init,debug mode is false
0.002,1.437,r.init,colorSensorLineThreshhold is 0.38123167155425225
0.086,83.472,robot,pushButton was invoked with button 0
3.356,3270.036,robot,resetMotorEncoders was called
3.373,16.991,robot,enableMotorEncoders was called
3.400,26.828,r.init,r.init finished (a)
3.468,68.030,autonomous,Done with robot.init --- waiting for start in strafe_test
3.469,0.967,autonomous,Started
3.521,51.999,Mainline,Beginning state machine pass 0
3.525,3.982,<colorRed>
3.528,2.977,colorRedStateMachine,Execution of colorRed has started
3.531,3.059,</colorRed>
3.533,2.627,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.002791.3, seconds
3.541,7.993,Mainline,Ending state machine pass of arcTowardsBeacon
3.544,2.336,Mainline,Beginning state machine pass 1
3.546,2.120,robot,enableMotorBreak was called
3.552,6.099,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.622,69.608,<arcTowardsBeacon>
3.654,32.699,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.655,0.917,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.744,88.901,Mainline,Ending state machine pass of arcTowardsBeacon
3.745,0.962,Mainline,Beginning state machine pass 1
3.746,0.967,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.795,48.698,Mainline,Ending state machine pass of arcTowardsBeacon
3.796,0.899,Mainline,Beginning state machine pass 1
3.796,0.756,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.828,31.277,Mainline,Ending state machine pass of arcTowardsBeacon
3.829,0.915,Mainline,Beginning state machine pass 1
3.830,0.965,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.841,11.267,Mainline,Ending state machine pass of arcTowardsBeacon
3.842,1.109,Mainline,Beginning state machine pass 1
3.843,0.776,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.844,1.764,Mainline,Ending state machine pass of arcTowardsBeacon
3.845,0.961,Mainline,Beginning state machine pass 1
3.846,0.680,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.848,1.897,Mainline,Ending state machine pass of arcTowardsBeacon
3.851,3.167,Mainline,Beginning state machine pass 1
3.852,0.724,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.853,1.517,Mainline,Ending state machine pass of arcTowardsBeacon
3.854,1.107,Mainline,Beginning state machine pass 1
3.856,1.172,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.860,4.009,Mainline,Ending state machine pass of arcTowardsBeacon
3.862,2.052,Mainline,Beginning state machine pass 1
3.863,1.436,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.869,5.734,Mainline,Ending state machine pass of arcTowardsBeacon
3.870,1.063,Mainline,Beginning state machine pass 1
3.871,1.019,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.873,2.370,Mainline,Ending state machine pass of arcTowardsBeacon
3.875,1.848,Mainline,Beginning state machine pass 1
