sec,d ms,r.init,r.init was invoked (a)
0.001,1.022,r.init,debug mode is false
0.002,1.238,r.init,colorSensorLineThreshhold is 0.3851417399804497
0.088,85.567,robot,pushButton was invoked with button 0
3.500,3412.025,robot,resetMotorEncoders was called
3.522,21.985,robot,enableMotorEncoders was called
3.548,25.980,r.init,r.init finished (a)
3.622,74.044,autonomous,Done with robot.init --- waiting for start in strafe_test
3.622,0.898,autonomous,Started
3.664,41.090,Mainline,Beginning state machine pass 0
3.666,2.102,<colorRed>
3.666,0.635,colorRedStateMachine,Execution of colorRed has started
3.668,1.260,</colorRed>
3.669,1.203,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.001090.3, seconds
3.670,1.156,Mainline,Ending state machine pass of arcTowardsBeacon
3.671,1.509,Mainline,Beginning state machine pass 1
3.673,1.932,robot,enableMotorBreak was called
3.675,1.243,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.722,47.148,<arcTowardsBeacon>
3.749,27.510,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.750,0.590,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.842,92.506,Mainline,Ending state machine pass of arcTowardsBeacon
3.843,0.923,Mainline,Beginning state machine pass 1
3.844,0.749,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 1.00
3.887,42.998,Mainline,Ending state machine pass of arcTowardsBeacon
3.888,0.913,Mainline,Beginning state machine pass 1
3.889,1.305,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.931,41.717,Mainline,Ending state machine pass of arcTowardsBeacon
3.932,0.978,Mainline,Beginning state machine pass 1
3.936,4.261,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 1.00
3.981,44.751,Mainline,Ending state machine pass of arcTowardsBeacon
3.983,1.731,Mainline,Beginning state machine pass 1
3.985,2.099,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
4.057,72.368,Mainline,Ending state machine pass of arcTowardsBeacon
4.058,0.875,Mainline,Beginning state machine pass 1
4.059,0.623,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.095,36.657,Mainline,Ending state machine pass of arcTowardsBeacon
4.097,1.260,Mainline,Beginning state machine pass 1
4.098,1.109,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.111,13.491,Mainline,Ending state machine pass of arcTowardsBeacon
4.113,1.611,Mainline,Beginning state machine pass 1
4.115,2.070,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.154,38.920,Mainline,Ending state machine pass of arcTowardsBeacon
4.155,1.181,Mainline,Beginning state machine pass 1
4.156,0.765,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.164,8.246,Mainline,Ending state machine pass of arcTowardsBeacon
4.165,0.874,Mainline,Beginning state machine pass 1
4.166,1.086,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.169,2.780,Mainline,Ending state machine pass of arcTowardsBeacon
4.170,0.922,Mainline,Beginning state machine pass 1
4.170,0.777,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.173,2.612,Mainline,Ending state machine pass of arcTowardsBeacon
4.175,1.567,Mainline,Beginning state machine pass 1
4.175,0.876,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.47, 1.00
4.202,26.534,Mainline,Ending state machine pass of arcTowardsBeacon
4.203,0.945,Mainline,Beginning state machine pass 1
4.204,1.455,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.46, 1.00
4.225,20.399,Mainline,Ending state machine pass of arcTowardsBeacon
4.226,0.921,Mainline,Beginning state machine pass 1
4.227,1.345,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.46, 1.00
4.232,4.546,Mainline,Ending state machine pass of arcTowardsBeacon
4.233,1.175,Mainline,Beginning state machine pass 1
4.234,0.955,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.46, 1.00
4.238,3.803,Mainline,Ending state machine pass of arcTowardsBeacon
4.238,0.878,Mainline,Beginning state machine pass 1
4.243,4.103,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.272,29.689,Mainline,Ending state machine pass of arcTowardsBeacon
4.274,1.680,Mainline,Beginning state machine pass 1
4.275,1.188,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.98, 0.46, 1.00
4.302,27.332,Mainline,Ending state machine pass of arcTowardsBeacon
4.304,1.821,Mainline,Beginning state machine pass 1
4.305,1.268,robot,bettermove powers are fl:fr:bl:br, 0.45, 0.98, 0.45, 1.00
4.335,29.945,Mainline,Ending state machine pass of arcTowardsBeacon
4.337,1.968,Mainline,Beginning state machine pass 1
4.338,0.866,robot,bettermove powers are fl:fr:bl:br, 0.45, 0.98, 0.45, 1.00
4.349,10.477,Mainline,Ending state machine pass of arcTowardsBeacon
4.350,1.087,Mainline,Beginning state machine pass 1
4.351,0.956,robot,bettermove powers are fl:fr:bl:br, 0.44, 0.98, 0.44, 1.00
4.397,46.685,Mainline,Ending state machine pass of arcTowardsBeacon
4.398,0.974,Mainline,Beginning state machine pass 1
4.400,1.320,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.98, 0.43, 1.00
4.431,31.122,Mainline,Ending state machine pass of arcTowardsBeacon
4.432,1.256,Mainline,Beginning state machine pass 1
4.433,0.926,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.99, 0.43, 1.00
4.457,23.688,Mainline,Ending state machine pass of arcTowardsBeacon
4.460,3.543,Mainline,Beginning state machine pass 1
4.462,2.152,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.99, 0.42, 1.00
4.498,35.837,Mainline,Ending state machine pass of arcTowardsBeacon
4.499,1.036,Mainline,Beginning state machine pass 1
4.500,0.839,robot,bettermove powers are fl:fr:bl:br, 0.41, 0.98, 0.42, 1.00
4.553,53.252,Mainline,Ending state machine pass of arcTowardsBeacon
4.555,1.195,Mainline,Beginning state machine pass 1
4.556,1.605,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.98, 0.40, 1.00
4.596,40.098,Mainline,Ending state machine pass of arcTowardsBeacon
4.597,0.976,Mainline,Beginning state machine pass 1
4.598,0.810,robot,bettermove powers are fl:fr:bl:br, 0.39, 0.98, 0.39, 1.00
4.632,33.629,Mainline,Ending state machine pass of arcTowardsBeacon
4.633,0.995,Mainline,Beginning state machine pass 1
4.634,0.954,robot,bettermove powers are fl:fr:bl:br, 0.38, 0.98, 0.38, 1.00
4.681,47.328,Mainline,Ending state machine pass of arcTowardsBeacon
4.682,0.694,Mainline,Beginning state machine pass 1
4.682,0.708,robot,bettermove powers are fl:fr:bl:br, 0.37, 0.98, 0.37, 0.99
4.724,41.505,Mainline,Ending state machine pass of arcTowardsBeacon
4.725,0.740,Mainline,Beginning state machine pass 1
4.726,0.838,robot,bettermove powers are fl:fr:bl:br, 0.35, 0.95, 0.35, 0.96
4.793,67.193,Mainline,Ending state machine pass of arcTowardsBeacon
4.794,1.298,Mainline,Beginning state machine pass 1
4.795,1.430,robot,bettermove powers are fl:fr:bl:br, 0.31, 0.90, 0.31, 0.91
4.880,84.089,Mainline,Ending state machine pass of arcTowardsBeacon
4.880,0.990,Mainline,Beginning state machine pass 1
4.881,0.698,robot,bettermove powers are fl:fr:bl:br, 0.27, 0.85, 0.27, 0.85
4.943,61.399,Mainline,Ending state machine pass of arcTowardsBeacon
4.945,2.481,Mainline,Beginning state machine pass 1
4.947,1.688,robot,bettermove powers are fl:fr:bl:br, 0.25, 0.80, 0.25, 0.80
5.004,57.539,Mainline,Ending state machine pass of arcTowardsBeacon
5.005,0.907,Mainline,Beginning state machine pass 1
5.006,0.839,robot,bettermove powers are fl:fr:bl:br, 0.23, 0.76, 0.23, 0.76
5.079,72.470,Mainline,Ending state machine pass of arcTowardsBeacon
5.079,0.941,Mainline,Beginning state machine pass 1
5.081,1.116,robot,bettermove powers are fl:fr:bl:br, 0.20, 0.70, 0.21, 0.70
5.140,59.908,Mainline,Ending state machine pass of arcTowardsBeacon
5.141,0.911,Mainline,Beginning state machine pass 1
5.142,0.977,robot,bettermove powers are fl:fr:bl:br, 0.19, 0.66, 0.20, 0.65
5.216,73.160,Mainline,Ending state machine pass of arcTowardsBeacon
5.216,0.805,Mainline,Beginning state machine pass 1
5.217,0.728,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.61, 0.19, 0.60
5.295,77.858,Mainline,Ending state machine pass of arcTowardsBeacon
5.296,1.325,Mainline,Beginning state machine pass 1
5.297,1.050,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.55, 0.18, 0.53
5.356,58.812,Mainline,Ending state machine pass of arcTowardsBeacon
5.357,1.345,Mainline,Beginning state machine pass 1
5.358,0.942,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.51, 0.18, 0.49
5.407,49.071,Mainline,Ending state machine pass of arcTowardsBeacon
5.408,0.918,Mainline,Beginning state machine pass 1
5.409,1.083,robot,bettermove powers are fl:fr:bl:br, 0.15, 0.50, 0.18, 0.47
5.460,50.030,Mainline,Ending state machine pass of arcTowardsBeacon
5.461,1.002,Mainline,Beginning state machine pass 1
5.462,1.102,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.50, 0.19, 0.46
5.518,56.281,Mainline,Ending state machine pass of arcTowardsBeacon
5.519,0.929,Mainline,Beginning state machine pass 1
5.520,0.874,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.50, 0.20, 0.46
5.550,30.481,Mainline,Ending state machine pass of arcTowardsBeacon
5.551,0.995,Mainline,Beginning state machine pass 1
5.552,0.865,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.50, 0.20, 0.44
5.587,35.236,Mainline,Ending state machine pass of arcTowardsBeacon
5.588,0.999,Mainline,Beginning state machine pass 1
5.590,1.482,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.50, 0.21, 0.44
5.622,31.944,Mainline,Ending state machine pass of arcTowardsBeacon
5.623,0.885,Mainline,Beginning state machine pass 1
5.623,0.669,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.22, 0.44
5.652,28.548,Mainline,Ending state machine pass of arcTowardsBeacon
5.653,0.980,Mainline,Beginning state machine pass 1
5.654,1.324,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.22, 0.43
5.683,28.973,Mainline,Ending state machine pass of arcTowardsBeacon
5.684,0.885,Mainline,Beginning state machine pass 1
5.685,1.029,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.23, 0.42
5.725,40.030,Mainline,Ending state machine pass of arcTowardsBeacon
5.727,1.889,Mainline,Beginning state machine pass 1
5.729,1.649,robot,bettermove powers are fl:fr:bl:br, 0.19, 0.50, 0.24, 0.41
5.810,81.614,Mainline,Ending state machine pass of arcTowardsBeacon
5.811,1.288,Mainline,Beginning state machine pass 1
5.813,1.717,robot,bettermove powers are fl:fr:bl:br, 0.21, 0.50, 0.27, 0.44
5.865,52.114,Mainline,Ending state machine pass of arcTowardsBeacon
5.866,0.870,Mainline,Beginning state machine pass 1
5.867,0.712,robot,bettermove powers are fl:fr:bl:br, 0.22, 0.50, 0.28, 0.38
5.911,44.001,Mainline,Ending state machine pass of arcTowardsBeacon
5.912,0.949,Mainline,Beginning state machine pass 1
5.913,1.002,robot,bettermove powers are fl:fr:bl:br, 0.23, 0.50, 0.30, 0.36
5.969,56.358,Mainline,Ending state machine pass of arcTowardsBeacon
5.970,0.917,Mainline,Beginning state machine pass 1
5.971,1.240,robot,bettermove powers are fl:fr:bl:br, 0.25, 0.50, 0.32, 0.31
6.023,51.955,Mainline,Ending state machine pass of arcTowardsBeacon
6.024,0.994,Mainline,Beginning state machine pass 1
6.025,0.866,robot,bettermove powers are fl:fr:bl:br, 0.29, 0.50, 0.37, 0.26
6.067,41.965,Mainline,Ending state machine pass of arcTowardsBeacon
6.069,1.936,Mainline,Beginning state machine pass 1
6.070,0.779,robot,bettermove powers are fl:fr:bl:br, 0.35, 0.50, 0.47, 0.00
6.118,48.602,Mainline,Ending state machine pass of arcTowardsBeacon
6.120,1.576,Mainline,Beginning state machine pass 1
6.121,0.918,robot,bettermove powers are fl:fr:bl:br, 0.36, 0.40, 0.50, 0.00
6.176,54.652,Mainline,Ending state machine pass of arcTowardsBeacon
6.178,2.201,Mainline,Beginning state machine pass 1
6.179,1.048,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.185,6.224,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.239,53.517,robot,enableEncodersToPosition was called
6.240,1.012,robot,setMotorPower was called - power: 1.00
6.292,52.039,pm.automaticSquareUp without telemetry,called
6.353,61.106,robot,getCurrentAngle was invoked, returning 45
6.354,0.857,robot,getCurrentAngle was invoked, returning 45
6.428,74.764,pm.move,called with right:0.00 and spin:6.38
6.430,1.518,robot,setMotorTargets was called - f:r:s: 0 : 0 : 70
6.432,1.771,pm.waitforMotors,called with right:0.00 and spin:6.38 and forward:0.00
6.477,45.399,robot,isMotorBusy was called, returning true
6.481,3.870,robot,isMotorBusy was called, returning true
6.482,0.786,robot,isMotorBusy was called, returning true
6.483,1.528,robot,isMotorBusy was called, returning true
6.485,2.233,robot,isMotorBusy was called, returning true
6.487,1.343,robot,isMotorBusy was called, returning true
6.490,2.818,robot,isMotorBusy was called, returning true
6.492,2.312,robot,isMotorBusy was called, returning true
6.493,1.526,robot,isMotorBusy was called, returning true
6.495,1.511,robot,isMotorBusy was called, returning true
6.497,1.883,robot,isMotorBusy was called, returning true
6.498,1.159,robot,isMotorBusy was called, returning true
6.499,1.359,robot,isMotorBusy was called, returning true
6.502,2.409,robot,isMotorBusy was called, returning true
6.503,1.706,robot,isMotorBusy was called, returning true
6.505,1.819,robot,isMotorBusy was called, returning true
6.507,1.788,robot,isMotorBusy was called, returning true
6.508,0.809,robot,isMotorBusy was called, returning true
6.509,0.904,robot,isMotorBusy was called, returning true
6.510,1.114,robot,isMotorBusy was called, returning true
6.511,1.180,robot,isMotorBusy was called, returning true
6.512,0.983,robot,isMotorBusy was called, returning true
6.514,2.098,robot,isMotorBusy was called, returning true
6.517,3.088,robot,isMotorBusy was called, returning true
6.518,0.846,robot,isMotorBusy was called, returning true
6.519,1.351,robot,isMotorBusy was called, returning true
6.521,1.062,robot,isMotorBusy was called, returning true
6.522,1.354,robot,isMotorBusy was called, returning true
6.523,1.268,robot,isMotorBusy was called, returning true
6.524,0.717,robot,isMotorBusy was called, returning true
6.525,1.205,robot,isMotorBusy was called, returning true
6.526,1.376,robot,isMotorBusy was called, returning true
6.528,1.456,robot,isMotorBusy was called, returning true
6.529,1.171,robot,isMotorBusy was called, returning true
6.530,0.805,robot,isMotorBusy was called, returning true
6.531,1.200,robot,isMotorBusy was called, returning true
6.532,0.801,robot,isMotorBusy was called, returning true
6.533,0.803,robot,isMotorBusy was called, returning true
6.533,0.826,robot,isMotorBusy was called, returning true
6.535,1.136,robot,isMotorBusy was called, returning true
6.536,1.221,robot,isMotorBusy was called, returning true
6.537,0.810,robot,isMotorBusy was called, returning true
6.537,0.802,robot,isMotorBusy was called, returning true
6.538,0.701,robot,isMotorBusy was called, returning true
6.539,0.920,robot,isMotorBusy was called, returning true
6.540,0.864,robot,isMotorBusy was called, returning true
6.541,0.807,robot,isMotorBusy was called, returning true
6.541,0.726,robot,isMotorBusy was called, returning true
6.542,0.716,robot,isMotorBusy was called, returning true
6.543,0.621,robot,isMotorBusy was called, returning true
6.543,0.541,robot,isMotorBusy was called, returning true
6.544,0.546,robot,isMotorBusy was called, returning true
6.544,0.588,robot,isMotorBusy was called, returning true
6.545,0.547,robot,isMotorBusy was called, returning true
6.546,0.556,robot,isMotorBusy was called, returning true
6.547,1.242,robot,isMotorBusy was called, returning true
6.548,1.207,robot,isMotorBusy was called, returning true
6.549,1.082,robot,isMotorBusy was called, returning true
6.550,1.019,robot,isMotorBusy was called, returning true
6.551,0.985,robot,isMotorBusy was called, returning true
6.552,0.628,robot,isMotorBusy was called, returning true
6.552,0.534,robot,isMotorBusy was called, returning true
6.553,0.724,robot,isMotorBusy was called, returning true
6.554,0.695,robot,isMotorBusy was called, returning true
6.554,0.562,robot,isMotorBusy was called, returning true
6.555,1.077,robot,isMotorBusy was called, returning true
6.556,0.589,robot,isMotorBusy was called, returning true
6.557,1.259,robot,isMotorBusy was called, returning true
6.558,1.167,robot,isMotorBusy was called, returning true
6.559,1.097,robot,isMotorBusy was called, returning true
6.560,0.908,robot,isMotorBusy was called, returning true
6.561,1.050,robot,isMotorBusy was called, returning true
6.562,0.935,robot,isMotorBusy was called, returning true
6.563,0.884,robot,isMotorBusy was called, returning true
6.565,1.597,robot,isMotorBusy was called, returning true
6.566,0.660,robot,isMotorBusy was called, returning true
6.567,1.469,robot,isMotorBusy was called, returning true
6.568,0.659,robot,isMotorBusy was called, returning true
6.570,2.033,robot,isMotorBusy was called, returning true
6.572,2.073,robot,isMotorBusy was called, returning true
6.574,1.799,robot,isMotorBusy was called, returning true
6.574,0.717,robot,isMotorBusy was called, returning true
6.575,0.591,robot,isMotorBusy was called, returning true
6.575,0.655,robot,isMotorBusy was called, returning true
6.576,0.601,robot,isMotorBusy was called, returning true
6.577,0.637,robot,isMotorBusy was called, returning true
6.578,0.900,robot,isMotorBusy was called, returning true
6.578,0.606,robot,isMotorBusy was called, returning true
6.580,2.105,robot,isMotorBusy was called, returning true
6.581,0.931,robot,isMotorBusy was called, returning true
6.582,0.591,robot,isMotorBusy was called, returning true
6.582,0.566,robot,isMotorBusy was called, returning true
6.584,1.080,robot,isMotorBusy was called, returning true
6.585,1.148,robot,isMotorBusy was called, returning true
6.585,0.596,robot,isMotorBusy was called, returning true
6.586,1.050,robot,isMotorBusy was called, returning true
