sec,d ms,r.init,r.init was invoked (a)
0.001,0.629,r.init,debug mode is false
0.001,0.731,r.init,colorSensorLineThreshhold is 0.39491691104594334
0.076,75.166,robot,pushButton was invoked with button 0
3.599,3522.573,robot,resetMotorEncoders was called
3.618,19.474,robot,enableMotorEncoders was called
3.648,29.056,r.init,r.init finished (a)
3.728,80.816,autonomous,Done with robot.init --- waiting for start in strafe_test
3.730,1.248,autonomous,Started
3.763,33.184,Mainline,Beginning state machine pass 0
3.764,0.768,<colorRed>
3.765,1.006,colorRedStateMachine,Execution of colorRed has started
3.765,0.957,</colorRed>
3.766,0.803,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.000943.3, seconds
3.768,1.566,Mainline,Ending state machine pass of arcTowardsBeacon
3.769,0.968,Mainline,Beginning state machine pass 1
3.769,0.654,robot,enableMotorBreak was called
3.772,2.498,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.816,43.832,<arcTowardsBeacon>
3.850,33.782,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.850,0.848,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.921,71.057,Mainline,Ending state machine pass of arcTowardsBeacon
3.923,1.859,Mainline,Beginning state machine pass 1
3.925,1.181,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.960,35.632,Mainline,Ending state machine pass of arcTowardsBeacon
3.961,1.163,Mainline,Beginning state machine pass 1
3.963,1.780,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
3.990,27.387,Mainline,Ending state machine pass of arcTowardsBeacon
3.991,0.884,Mainline,Beginning state machine pass 1
3.992,0.954,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.028,35.972,Mainline,Ending state machine pass of arcTowardsBeacon
4.029,0.957,Mainline,Beginning state machine pass 1
4.030,0.974,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.035,5.116,Mainline,Ending state machine pass of arcTowardsBeacon
4.036,1.146,Mainline,Beginning state machine pass 1
4.037,0.726,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.040,2.704,Mainline,Ending state machine pass of arcTowardsBeacon
4.041,1.074,Mainline,Beginning state machine pass 1
4.042,1.010,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.045,2.615,Mainline,Ending state machine pass of arcTowardsBeacon
4.046,1.500,Mainline,Beginning state machine pass 1
4.047,1.056,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.049,2.259,Mainline,Ending state machine pass of arcTowardsBeacon
4.050,0.991,Mainline,Beginning state machine pass 1
4.051,0.866,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.054,3.058,Mainline,Ending state machine pass of arcTowardsBeacon
4.056,1.912,Mainline,Beginning state machine pass 1
4.057,0.990,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.063,5.359,Mainline,Ending state machine pass of arcTowardsBeacon
4.064,1.067,Mainline,Beginning state machine pass 1
4.065,0.843,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.067,2.492,Mainline,Ending state machine pass of arcTowardsBeacon
4.068,0.811,Mainline,Beginning state machine pass 1
4.069,0.840,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.070,1.600,Mainline,Ending state machine pass of arcTowardsBeacon
4.071,1.016,Mainline,Beginning state machine pass 1
4.072,1.141,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.074,1.957,Mainline,Ending state machine pass of arcTowardsBeacon
4.075,0.929,Mainline,Beginning state machine pass 1
4.076,0.824,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.078,2.065,Mainline,Ending state machine pass of arcTowardsBeacon
4.079,1.094,Mainline,Beginning state machine pass 1
4.080,0.678,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.087,6.535,Mainline,Ending state machine pass of arcTowardsBeacon
4.088,1.069,Mainline,Beginning state machine pass 1
4.088,0.842,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.092,3.130,Mainline,Ending state machine pass of arcTowardsBeacon
4.093,1.115,Mainline,Beginning state machine pass 1
4.093,0.749,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.095,1.794,Mainline,Ending state machine pass of arcTowardsBeacon
4.096,1.034,Mainline,Beginning state machine pass 1
4.097,0.740,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.098,1.352,Mainline,Ending state machine pass of arcTowardsBeacon
4.099,0.834,Mainline,Beginning state machine pass 1
4.100,0.694,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.102,2.078,Mainline,Ending state machine pass of arcTowardsBeacon
4.104,1.842,Mainline,Beginning state machine pass 1
4.105,1.701,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.110,4.826,Mainline,Ending state machine pass of arcTowardsBeacon
4.111,0.661,Mainline,Beginning state machine pass 1
4.112,0.815,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.113,1.699,Mainline,Ending state machine pass of arcTowardsBeacon
4.115,1.045,Mainline,Beginning state machine pass 1
4.116,1.339,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.118,1.773,Mainline,Ending state machine pass of arcTowardsBeacon
4.118,0.663,Mainline,Beginning state machine pass 1
4.119,0.559,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.120,1.439,Mainline,Ending state machine pass of arcTowardsBeacon
4.121,0.522,Mainline,Beginning state machine pass 1
4.122,1.011,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.125,3.068,Mainline,Ending state machine pass of arcTowardsBeacon
4.126,0.870,Mainline,Beginning state machine pass 1
4.126,0.514,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.128,1.785,Mainline,Ending state machine pass of arcTowardsBeacon
4.129,0.620,Mainline,Beginning state machine pass 1
4.129,0.524,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.138,8.401,Mainline,Ending state machine pass of arcTowardsBeacon
4.139,1.337,Mainline,Beginning state machine pass 1
4.141,2.397,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.171,29.430,Mainline,Ending state machine pass of arcTowardsBeacon
4.172,1.339,Mainline,Beginning state machine pass 1
4.173,1.021,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.201,27.859,Mainline,Ending state machine pass of arcTowardsBeacon
4.202,0.871,Mainline,Beginning state machine pass 1
4.204,1.688,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.98, 0.47, 1.00
4.236,32.742,Mainline,Ending state machine pass of arcTowardsBeacon
4.237,0.725,Mainline,Beginning state machine pass 1
4.238,1.463,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.258,19.489,Mainline,Ending state machine pass of arcTowardsBeacon
4.259,1.199,Mainline,Beginning state machine pass 1
4.261,1.426,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.263,2.816,Mainline,Ending state machine pass of arcTowardsBeacon
