sec,d ms,r.init,r.init was invoked (a)
0.001,0.952,r.init,debug mode is false
0.002,0.911,r.init,colorSensorLineThreshhold is 0.3675464320625611
0.108,106.405,robot,pushButton was invoked with button 0
3.505,3396.412,robot,resetMotorEncoders was called
3.520,15.400,robot,enableMotorEncoders was called
3.563,43.086,r.init,r.init finished (a)
3.628,64.800,autonomous,Done with robot.init --- waiting for start in masterV3
3.629,0.967,autonomous,Started
3.649,19.838,Mainline,Beginning state machine pass 0
3.650,1.080,<colorRed>
3.651,1.002,colorRedStateMachine,Execution of colorRed has started
3.651,0.662,</colorRed>
3.652,0.794,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.001414.3, seconds
3.654,2.249,Mainline,Ending state machine pass of arcTowardsBeacon
3.656,1.749,Mainline,Beginning state machine pass 1
3.658,2.113,robot,enableMotorBreak was called
3.661,2.648,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.710,49.129,<arcTowardsBeacon>
3.743,33.121,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.744,1.051,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.817,72.826,Mainline,Ending state machine pass of arcTowardsBeacon
3.818,1.001,Mainline,Beginning state machine pass 1
3.819,0.769,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.844,25.462,Mainline,Ending state machine pass of arcTowardsBeacon
3.846,1.314,Mainline,Beginning state machine pass 1
3.846,0.770,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.886,39.479,Mainline,Ending state machine pass of arcTowardsBeacon
3.887,0.941,Mainline,Beginning state machine pass 1
3.888,0.850,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.916,28.151,Mainline,Ending state machine pass of arcTowardsBeacon
3.917,0.930,Mainline,Beginning state machine pass 1
3.918,0.871,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.919,1.762,Mainline,Ending state machine pass of arcTowardsBeacon
3.920,0.818,Mainline,Beginning state machine pass 1
3.921,0.856,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.923,1.712,Mainline,Ending state machine pass of arcTowardsBeacon
3.923,0.680,Mainline,Beginning state machine pass 1
3.925,1.108,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.950,25.182,Mainline,Ending state machine pass of arcTowardsBeacon
3.951,0.825,Mainline,Beginning state machine pass 1
3.952,1.026,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
