sec,d ms,r.init,r.init was invoked (a)
0.000,0.583,r.init,debug mode is false
0.001,0.654,r.init,colorSensorLineThreshhold is 0.06060606060606061
0.074,72.486,robot,pushButton was invoked with button 0
4.164,4090.939,robot,resetMotorEncoders was called
4.178,13.935,robot,enableMotorEncoders was called
4.224,45.946,r.init,r.init finished (a)
4.273,49.151,autonomous,Done with robot.init --- waiting for start in masterV3
4.274,0.695,autonomous,Started
5.284,1009.924,Mainline,Beginning state machine pass 0
5.285,0.913,<colorRed>
5.287,2.113,colorRedStateMachine,Execution of colorRed has started
5.288,0.960,</colorRed>
5.289,1.057,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.001130.3, seconds
5.291,1.796,Mainline,Ending state machine pass of arcTowardsBeacon
5.292,1.462,Mainline,Beginning state machine pass 1
5.294,1.392,robot,enableMotorBreak was called
5.295,1.478,robot,setMotorTankTargets was called - L:r: 2610 : 5408
5.353,57.500,<arcTowardsBeacon>
5.368,14.739,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
5.369,1.092,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
5.454,85.208,Mainline,Ending state machine pass of arcTowardsBeacon
5.455,0.697,Mainline,Beginning state machine pass 1
5.455,0.614,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
5.457,1.482,Mainline,Ending state machine pass of arcTowardsBeacon
5.458,1.097,Mainline,Beginning state machine pass 1
5.460,2.560,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
5.513,53.087,Mainline,Ending state machine pass of arcTowardsBeacon
5.514,0.789,Mainline,Beginning state machine pass 1
5.515,0.608,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
5.517,2.059,Mainline,Ending state machine pass of arcTowardsBeacon
5.518,0.798,Mainline,Beginning state machine pass 1
5.518,0.751,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
5.520,1.963,Mainline,Ending state machine pass of arcTowardsBeacon
5.521,0.974,Mainline,Beginning state machine pass 1
5.523,1.650,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 0.99
5.544,20.615,Mainline,Ending state machine pass of arcTowardsBeacon
5.547,3.151,Mainline,Beginning state machine pass 1
5.548,0.965,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 0.99
5.550,2.120,Mainline,Ending state machine pass of arcTowardsBeacon
5.551,1.025,Mainline,Beginning state machine pass 1
5.552,0.785,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 0.98
5.594,41.915,Mainline,Ending state machine pass of arcTowardsBeacon
5.595,1.307,Mainline,Beginning state machine pass 1
5.596,1.121,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 0.98
5.598,1.686,Mainline,Ending state machine pass of arcTowardsBeacon
5.601,3.022,Mainline,Beginning state machine pass 1
5.602,1.160,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.47, 0.97
5.645,43.388,Mainline,Ending state machine pass of arcTowardsBeacon
5.646,0.646,Mainline,Beginning state machine pass 1
5.647,1.089,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.47, 0.96
5.674,27.331,Mainline,Ending state machine pass of arcTowardsBeacon
5.675,0.847,Mainline,Beginning state machine pass 1
5.676,0.799,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.47, 0.96
