sec,d ms,r.init,r.init was invoked (a)
0.000,0.388,r.init,debug mode is false
0.001,0.776,r.init,colorSensorLineThreshhold is 0.0
0.002,1.131,robot,pushButton was invoked with button 0
0.003,0.897,robot,resetMotorEncoders was called
0.003,0.462,robot,enableMotorEncoders was called
0.004,0.779,r.init,r.init finished (a)
0.005,0.460,autonomous,Done with robot.init --- waiting for start in masterV3
0.005,0.480,autonomous,Started
0.007,1.786,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
0.008,1.208,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
0.009,1.311,robot,pushButton was invoked with button 0
0.010,0.773,autonomous,Done with opmode, exited based on OpmodeIsActive false
