sec,d ms,r.init,r.init was invoked (a)
0.001,0.751,r.init,debug mode is false
0.002,0.767,r.init,colorSensorLineThreshhold is 0.3910068426197459
0.004,2.441,robot,pushButton was invoked with button 0
0.026,21.216,robot,resetMotorEncoders was called
0.026,0.622,robot,enableMotorEncoders was called
0.027,0.677,r.init,r.init finished (a)
0.028,1.289,autonomous,Done with robot.init --- waiting for start in strafe_test
0.029,0.593,autonomous,Started
0.037,7.781,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
0.039,1.976,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
0.042,3.033,robot,pushButton was invoked with button 0
0.042,0.826,autonomous,Done with opmode, exited based on OpmodeIsActive false
