sec,d ms,r.init,r.init was invoked (a)
0.001,0.682,r.init,debug mode is false
0.003,1.577,r.init,colorSensorLineThreshhold is 0.4007820136852395
0.084,81.311,robot,pushButton was invoked with button 0
3.441,3356.943,robot,resetMotorEncoders was called
3.463,21.866,robot,enableMotorEncoders was called
3.486,22.819,r.init,r.init finished (a)
3.562,76.161,autonomous,Done with robot.init --- waiting for start in strafe_test
3.563,1.089,autonomous,Started
3.649,85.959,Mainline,Beginning state machine pass 0
3.650,1.130,<colorRed>
3.651,1.287,colorRedStateMachine,Execution of colorRed has started
3.652,0.751,</colorRed>
3.653,0.835,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.000673.3, seconds
3.654,0.872,Mainline,Ending state machine pass of arcTowardsBeacon
3.655,1.038,Mainline,Beginning state machine pass 1
3.656,0.796,robot,enableMotorBreak was called
3.656,0.665,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.713,56.342,<arcTowardsBeacon>
3.736,23.380,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.737,0.774,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.814,77.361,Mainline,Ending state machine pass of arcTowardsBeacon
3.815,1.100,Mainline,Beginning state machine pass 1
3.816,1.013,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.824,7.672,Mainline,Ending state machine pass of arcTowardsBeacon
3.826,1.825,Mainline,Beginning state machine pass 1
3.826,0.833,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.874,47.243,Mainline,Ending state machine pass of arcTowardsBeacon
3.874,0.743,Mainline,Beginning state machine pass 1
3.875,0.658,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.48, 0.99
3.908,33.135,Mainline,Ending state machine pass of arcTowardsBeacon
3.909,0.853,Mainline,Beginning state machine pass 1
3.910,0.786,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
3.939,29.560,Mainline,Ending state machine pass of arcTowardsBeacon
3.942,2.533,Mainline,Beginning state machine pass 1
3.943,0.801,robot,bettermove powers are fl:fr:bl:br, 0.47, 1.00, 0.47, 0.99
4.008,64.749,Mainline,Ending state machine pass of arcTowardsBeacon
4.009,1.482,Mainline,Beginning state machine pass 1
4.010,1.397,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.044,33.475,Mainline,Ending state machine pass of arcTowardsBeacon
4.045,0.871,Mainline,Beginning state machine pass 1
4.047,2.230,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.057,10.203,Mainline,Ending state machine pass of arcTowardsBeacon
4.059,1.733,Mainline,Beginning state machine pass 1
4.061,1.992,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.063,2.010,Mainline,Ending state machine pass of arcTowardsBeacon
4.064,1.287,Mainline,Beginning state machine pass 1
4.066,1.459,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.075,9.053,Mainline,Ending state machine pass of arcTowardsBeacon
4.078,3.443,Mainline,Beginning state machine pass 1
4.079,1.006,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.084,5.197,Mainline,Ending state machine pass of arcTowardsBeacon
4.085,0.916,Mainline,Beginning state machine pass 1
4.086,0.942,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.088,1.632,Mainline,Ending state machine pass of arcTowardsBeacon
4.089,0.812,Mainline,Beginning state machine pass 1
4.090,1.042,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.092,2.583,Mainline,Ending state machine pass of arcTowardsBeacon
4.093,1.130,Mainline,Beginning state machine pass 1
4.095,1.460,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.101,5.935,Mainline,Ending state machine pass of arcTowardsBeacon
4.102,1.225,Mainline,Beginning state machine pass 1
