sec,d ms,r.init,r.init was invoked (a)
0.001,0.705,r.init,debug mode is false
0.002,0.799,r.init,colorSensorLineThreshhold is 0.0
0.003,0.801,robot,pushButton was invoked with button 0
0.036,33.203,robot,resetMotorEncoders was called
0.037,0.812,robot,enableMotorEncoders was called
0.037,0.676,r.init,r.init finished (a)
0.038,0.722,autonomous,Done with robot.init --- waiting for start in masterV3
0.039,0.577,autonomous,Started
0.039,0.743,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
0.040,1.085,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
0.042,1.520,robot,pushButton was invoked with button 0
0.043,0.833,autonomous,Done with opmode, exited based on OpmodeIsActive false
